證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
"0050","元大台灣50","","5,409,000","335,876,150","336,014,850",
"0051","元大中型100","","6,000","528,550","530,200",
"0052","富邦科技","","113,000","28,109,050","28,122,350",
"0053","元大電子","","3,000","407,600","409,700",
"0055","元大MSCI金融","","7,000","216,990","217,210",
"0056","元大高股息","","8,676,000","322,428,370","322,607,100",
"0057","富邦摩台","","4,000","726,800","726,800",
"0061","元大寶滬深","","4,000","87,700","87,830",
"006203","元大MSCI台灣","","0","0","0",
"006204","永豐臺灣加權","","1,000","140,350","141,150",
"006205","富邦上証","","2,000","75,520","75,870",
"006206","元大上證50","","1,000","34,850","34,990",
"006207","復華滬深","","0","0","0",
"006208","富邦台50","","882,000","128,244,650","128,189,100",
"00631L","元大台灣50正2","","691,000","227,841,750","227,724,950",
"00632R","元大台灣50反1","","4,485,000","78,362,220","78,405,840",
"00633L","富邦上証正2","","2,600,000","124,204,690","124,045,370",
"00634R","富邦上証反1","","15,000","49,050","49,500",
"00635U","期元大S&P黃金","","2,367,000","111,042,350","110,920,560",
"00636","國泰中國A50","","92,000","2,326,290","2,337,390",
"00637L","元大滬深300正2","","12,426,000","240,104,750","240,945,780",
"00638R","元大滬深300反1","","5,000","34,550","34,850",
"00639","富邦深100","","105,000","1,488,670","1,481,210",
"00640L","富邦日本正2","","123,000","8,423,250","8,372,750",
"00641R","富邦日本反1","","7,000","34,480","34,680",
"00642U","期元大S&P石油","","364,000","5,374,580","5,380,450",
"00643","群益深証中小","","425,000","6,610,020","6,619,150",
"00645","富邦日本","","7,000","311,120","311,330",
"00646","元大S&P500","","3,000","190,600","190,250",
"00647L","元大S&P500正2","","2,000","217,400","217,600",
"00648R","元大S&P500反1","","0","0","0",
"00650L","復華香港正2","","2,203,000","38,271,180","38,254,050",
"00651R","復華香港反1","","11,000","58,910","59,240",
"00652","富邦印度","","4,000","147,550","147,720",
"00653L","富邦印度正2","","1,000","57,550","57,250",
"00654R","富邦印度反1","","0","0","0",
"00655L","國泰中國A50正2","","312,000","10,328,970","10,389,870",
"00656R","國泰中國A50反1","","1,000","6,140","6,160",
"00657","國泰日經225","","0","0","0",
"00660","元大歐洲50","","5,000","201,500","201,710",
"00661","元大日經225","","0","0","0",
"00662","富邦NASDAQ","","37,000","3,585,500","3,575,000",
"00663L","國泰臺灣加權正2","","1,786,000","76,823,580","76,807,780",
"00664R","國泰臺灣加權反1","","522,000","1,473,390","1,476,430",
"00665L","富邦恒生國企正2","","6,028,000","68,286,880","68,048,140",
"00666R","富邦恒生國企反1","","35,000","305,470","304,500",
"00668","國泰美國道瓊","","0","0","0",
"00669R","國泰美國道瓊反1","","2,000","11,840","11,860",
"00670L","富邦NASDAQ正2","","36,000","5,650,950","5,622,350",
"00671R","富邦NASDAQ反1","","32,000","94,080","94,080",
"00675L","富邦臺灣加權正2","","299,000","39,170,050","39,150,250",
"00676R","富邦臺灣加權反1","","122,000","1,169,420","1,169,910",
"00678","群益那斯達克生技","","100,000","3,056,000","3,056,000",
