公司代號,公司名稱,董事會決議日期,買回目的,買回股份總金額上限(依最新財報計算之法定上限),預定買回股數,買回價格區間最低,買回價格區間最高,預定買回期間起,預定買回期間迄,是否執行完畢,本次已買回股數(空白為尚在執行中),本次執行完畢已註銷或轉讓股數,本次已買回股數佔預定買回股數比例(%)(空白為尚在執行中),本次已買回總金額(空白為尚在執行中),本次平均每股買回價格(空白為尚在執行中),本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中),本次未執行完畢之原因
1416,廣豐,89/08/09,3,316685349.0,5232000.0,0.0,13.00,2000-08-10,2000-09-08,Y,3474000.0,3474000.0,66.4,17449873.0,5.02,0.63,執行期間因部份營業日漲幅逾當日漲幅的一半及受碧麗絲颱風停止營
2017,官田鋼,89/08/16,3,192554462.0,4600000.0,3.0,10.00,2000-08-18,2000-09-17,Y,2367000.0,2367000.0,51.46,7095683.0,3.00,0.52,"漲幅逾當日漲幅一半,股價低於買回區間,颱風"
2015,豐興,89/08/17,3,870976741.0,4600000.0,8.0,13.00,2000-08-19,2000-09-18,Y,4600000.0,4600000.0,100.0,45674182.0,9.93,0.81,
2611,志信,89/08/18,3,500464607.0,4000000.0,9.5,12.80,2000-08-21,2000-09-20,Y,3592000.0,3592000.0,89.8,35711150.0,9.94,2.35,價格低於買進下限
1402,遠東新,89/08/24,2,14623989000.0,10000000.0,33.83,70.00,2000-08-26,2000-09-25,Y,1874000.0,1874000.0,18.74,66103454.0,35.27,0.06,執行期間因部份營業日成交價格落於設定買回區間價格之外
2008,高興昌,89/08/24,1,199317276.0,4800000.0,6.0,10.00,2000-08-28,2000-09-27,Y,4200000.0,4200000.0,87.5,25938774.0,6.18,0.99,因部份營業日股價低於買回區間價格
2903,遠百,89/08/24,2,5998499000.0,10582000.0,12.8,25.00,2000-08-26,2000-09-25,Y,5582000.0,5582000.0,52.75,82712960.0,14.82,0.6,執行期間因股價上下波動及限時.限價.限量掛進買單致部份買單未能
1409,新纖,89/08/25,3,256008421.0,12288000.0,5.0,11.00,2000-08-29,2000-09-28,Y,5300000.0,5300000.0,43.13,25887451.0,4.88,0.4,執行期間因部份營業日成交價格落於設定買回區間之外
1909,榮成,89/08/25,1,1272029000.0,4968000.0,5.0,14.50,2000-08-28,2000-09-27,Y,4968000.0,4968000.0,100.0,28373404.0,5.71,0.97,
2906,高林,89/08/28,3,698987000.0,5800000.0,7.0,11.00,2000-08-30,2000-09-29,Y,5800000.0,5800000.0,100.0,40555850.0,6.99,1.33,
