公司名稱,公司代號,n,confidence(%),every_record
91APP*-KY,6741,1,100.0,100.0
GIS-KY,6456,2,55.0,60.0 ; 50.0
IET-KY,4971,2,21.83,9.45 ; 34.2
M31,6643,2,42.2,84.4 ; 0.0
TPK-KY,3673,2,24.1,24.99 ; 23.21
一詮,2486,5,89.86,100.0 ; 100.0 ; 100.0 ; 65.92 ; 83.38
一零四,3130,4,12.7,43.15 ; 2.47 ; 5.17 ; 0.0
三商,2905,7,70.49,76.28 ; 77.77 ; 100.0 ; 100.0 ; 57.71 ; 41.75 ; 39.94
三商電,2427,9,89.73,82.15 ; 100.0 ; 49.68 ; 78.88 ; 100.0 ; 96.86 ; 100.0 ; 100.0 ; 100.0
三晃,1721,1,88.65,88.65
三洋紡,1472,8,60.17,47.6 ; 49.4 ; 32.65 ; 31.7 ; 89.13 ; 100.0 ; 88.25 ; 42.64
三洋電,1614,8,37.97,50.2 ; 33.75 ; 43.45 ; 35.07 ; 100.0 ; 6.62 ; 24.83 ; 9.83
三發地產,9946,6,57.93,28.17 ; 31.88 ; 22.53 ; 100.0 ; 64.98 ; 100.0
三聯,5493,8,65.13,100.0 ; 35.45 ; 70.77 ; 12.5 ; 71.05 ; 41.13 ; 100.0 ; 90.15
三豐,5514,1,100.0,100.0
三貝德,8489,2,66.46,40.2 ; 92.73
三陽工業,2206,14,52.85,53.01 ; 67.56 ; 17.85 ; 100.0 ; 28.62 ; 60.0 ; 78.47 ; 100.0 ; 100.0 ; 41.31 ; 19.05 ; 0.0 ; 71.55 ; 2.5
三顧,3224,3,80.22,74.6 ; 100.0 ; 66.05
上奇,6123,8,84.51,50.3 ; 100.0 ; 85.8 ; 100.0 ; 91.67 ; 100.0 ; 53.93 ; 94.4
上揚,6222,1,83.83,83.83
上曜,1316,2,98.32,96.64 ; 100.0
上福,6128,2,100.0,100.0 ; 100.0
上緯投控,3708,4,64.75,90.8 ; 63.8 ; 54.4 ; 50.0
上詮,3363,3,93.83,81.5 ; 100.0 ; 100.0
世德,2066,2,31.18,12.35 ; 50.0
世界,5347,8,77.4,32.72 ; 100.0 ; 60.0 ; 83.73 ; 84.28 ; 100.0 ; 58.46 ; 100.0
世禾,3551,2,50.94,77.67 ; 24.2
世紀,5314,3,40.31,13.5 ; 7.44 ; 100.0
世芯-KY,3661,6,55.82,50.75 ; 59.2 ; 86.5 ; 0.0 ; 96.25 ; 42.2
世豐,2065,1,100.0,100.0
世鎧,2063,1,100.0,100.0
中保科,9917,3,90.0,100.0 ; 100.0 ; 70.0
中信金,2891,4,54.75,9.67 ; 9.32 ; 100.0 ; 100.0
中光電,5371,7,27.4,24.49 ; 6.23 ; 0.0 ; 0.0 ; 51.05 ; 10.0 ; 100.0
中和,1439,5,171.79,91.74 ; 467.23 ; 100.0 ; 100.0 ; 100.0
中壽,2823,7,24.16,32.17 ; 11.1 ; 87.96 ; 4.99 ; 2.0 ; 8.79 ; 22.08
中天,4128,6,70.62,50.15 ; 18.81 ; 100.0 ; 100.0 ; 100.0 ; 54.74
中探針,6217,3,83.04,100.0 ; 89.2 ; 59.93
中環,2323,52,83.88,100.0 ; 60.98 ; 100.0 ; 100.0 ; 100.0 ; 41.16 ; 37.6 ; 100.0 ; 100.0 ; 56.36 ; 100.0 ; 100.0 ; 66.57 ; 58.0 ; 94.06 ; 100.0 ; 100.0 ; 100.0 ; 37.62 ; 90.28 ; 100.0 ; 100.0 ; 100.0 ; 50.37 ; 77.92 ; 82.84 ; 100.0 ; 100.0 ; 43.16 ; 100.0 ; 22.12 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 49.78 ; 6.74 ; 85.18 ; 75.99 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 43.06 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 91.13 ; 94.45 ; 100.0 ; 96.22
中石化,1314,1,0.0,0.0
中磊,5388,10,69.74,100.0 ; 10.6 ; 100.0 ; 50.0 ; 28.05 ; 80.1 ; 88.65 ; 100.0 ; 100.0 ; 39.96
中纖,1718,16,69.81,57.54 ; 61.22 ; 81.85 ; 100.0 ; 100.0 ; 100.0 ; 87.45 ; 100.0 ; 94.49 ; 100.0 ; 100.0 ; 60.0 ; 4.5 ; 27.43 ; 40.92 ; 1.52
中美晶,5483,3,65.38,100.0 ; 77.63 ; 18.52
中興電,1513,4,92.52,89.21 ; 80.85 ; 100.0 ; 100.0
中茂,5205,1,47.3,47.3
中華,2204,4,74.03,23.61 ; 100.0 ; 100.0 ; 72.5
中華化,1727,1,90.7,90.7
中華電,2412,2,62.61,76.8 ; 48.43
中菲,5403,6,68.72,50.0 ; 66.15 ; 54.78 ; 46.03 ; 100.0 ; 95.38
中菲行,5609,7,89.68,80.0 ; 47.73 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
中視,9928,1,96.13,96.13
中連貨,5604,7,62.55,65.08 ; 0.0 ; 100.0 ; 76.0 ; 97.07 ; 56.17 ; 43.53
中鋼,2002,3,45.6,100.0 ; 0.8 ; 36.0
中電,1611,3,57.47,2.19 ; 70.21 ; 100.0
中鴻,2014,1,98.96,98.96
中鼎,9933,1,10.59,10.59
久威,6114,2,66.4,100.0 ; 32.8
久正,6167,7,92.88,100.0 ; 100.0 ; 101.8 ; 98.93 ; 49.44 ; 100.0 ; 100.0
久陽,5011,1,76.2,76.2
乙盛-KY,5243,3,59.81,48.0 ; 31.43 ; 100.0
九暘,8040,6,100.0,100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
九豪,6127,9,57.9,1.33 ; 97.25 ; 4.72 ; 100.0 ; 26.86 ; 37.57 ; 100.0 ; 100.0 ; 53.4
九齊,6494,1,64.4,64.4
事欣科,4916,5,35.76,30.13 ; 25.0 ; 38.69 ; 10.0 ; 75.0
云辰,2390,24,95.4,100.0 ; 100.0 ; 100.0 ; 100.0 ; 65.08 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 99.78 ; 100.0 ; 100.0 ; 24.73
互億,6172,3,27.3,12.2 ; 37.93 ; 31.77
互盛電,2433,8,75.81,71.5 ; 100.0 ; 7.48 ; 100.0 ; 77.11 ; 82.17 ; 100.0 ; 68.2
五鼎,1733,5,28.45,2.55 ; 78.8 ; 0.0 ; 3.6 ; 57.3
亞信,3169,3,66.36,100.0 ; 32.83 ; 66.25
亞元,6109,3,45.24,8.2 ; 44.2 ; 83.33
亞光,3019,3,67.31,41.2 ; 100.0 ; 60.72
亞力,1514,4,84.6,99.1 ; 70.88 ; 100.08 ; 68.33
亞崴,1530,2,84.22,69.83 ; 98.6
亞帝歐,3516,5,59.82,24.6 ; 74.37 ; 33.98 ; 100.0 ; 66.15
亞昕,5213,9,78.91,75.8 ; 100.0 ; 59.76 ; 100.0 ; 100.0 ; 75.52 ; 100.0 ; 84.28 ; 14.8
亞泥,1102,2,84.79,71.03 ; 98.55
亞矽,6113,6,93.65,61.9 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
亞翔,6139,4,26.1,44.92 ; 24.86 ; 19.71 ; 14.91
亞航,2630,1,41.76,41.76
亞諾法,4133,1,100.0,100.0
亞通,6179,3,66.81,71.0 ; 29.42 ; 100.0
亞銳士,6171,2,100.0,100.0 ; 100.0
京元電子,2449,15,88.95,57.07 ; 92.92 ; 84.88 ; 82.99 ; 100.0 ; 100.0 ; 100.0 ; 30.6 ; 100.0 ; 85.85 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
京城,2524,6,91.39,100.0 ; 99.7 ; 100.0 ; 100.0 ; 83.78 ; 64.88
京城銀,2809,23,90.23,100.0 ; 100.0 ; 66.74 ; 5.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 90.5 ; 12.97 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
仁寶,2324,7,51.83,49.25 ; 75.04 ; 99.99 ; 37.89 ; 42.09 ; 58.52 ; 0.0
今國光,6209,1,31.04,31.04
今皓,3011,4,57.75,72.07 ; 30.0 ; 65.08 ; 63.86
仲琦,2419,11,68.98,58.18 ; 100.0 ; 0.0 ; 100.0 ; 42.93 ; 82.54 ; 31.35 ; 95.27 ; 88.54 ; 83.33 ; 76.69
伍豐,8076,8,50.14,0.0 ; 45.83 ; 34.0 ; 69.72 ; 35.06 ; 52.5 ; 100.0 ; 63.98
伸興,1558,4,20.67,0.0 ; 81.27 ; 1.42 ; 0.0
位速,3508,2,39.72,25.64 ; 53.8
佑華,8024,10,52.84,100.0 ; 100.0 ; 10.4 ; 30.15 ; 100.0 ; 49.84 ; 57.5 ; 37.9 ; 22.65 ; 20.0
佰研,3205,1,22.7,22.7
佰鴻,3031,3,100.0,100.0 ; 100.0 ; 100.0
佳世達,2352,4,78.72,100.0 ; 100.0 ; 14.86 ; 100.0
佳凌,4976,6,39.54,100.0 ; 12.07 ; 19.57 ; 13.23 ; 50.57 ; 41.8
佳和,1449,1,96.32,96.32
佳必琪,6197,3,100.0,100.0 ; 100.0 ; 100.0
佳穎,3310,3,69.33,100.0 ; 100.0 ; 8.0
佳總,5355,3,99.9,99.7 ; 100.0 ; 100.0
佳能,2374,7,72.1,39.54 ; 100.0 ; 44.16 ; 100.0 ; 21.0 ; 100.0 ; 100.0
佳邦,6284,10,75.5,99.9 ; 91.13 ; 27.58 ; 45.9 ; 64.3 ; 82.17 ; 100.0 ; 84.0 ; 60.0 ; 100.0
佳醫,4104,3,23.89,25.0 ; 26.67 ; 20.0
佳龍,9955,3,62.8,21.2 ; 95.47 ; 71.74
佶優,5452,16,36.43,100.0 ; 8.49 ; 60.54 ; 55.57 ; 54.4 ; 7.06 ; 71.21 ; 70.17 ; 21.8 ; 14.47 ; 17.1 ; 2.13 ; 68.67 ; 27.2 ; 4.13 ; 0.0
來思達,8066,1,51.0,51.0
保瑞,6472,4,44.78,52.6 ; 51.5 ; 0.0 ; 75.0
保銳,8093,2,100.0,100.0 ; 100.0
信大,1109,4,16.53,27.48 ; 11.68 ; 15.28 ; 11.68
信昌電,6173,9,92.03,28.25 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
信立,4303,2,100.0,100.0 ; 100.0
信義,9940,1,93.89,93.89
信邦,3023,5,80.13,100.0 ; 100.0 ; 100.0 ; 37.67 ; 63.0
信音,6126,15,83.8,100.0 ; 100.0 ; 20.0 ; 100.0 ; 46.67 ; 100.0 ; 86.33 ; 94.25 ; 100.0 ; 63.18 ; 81.76 ; 100.0 ; 81.54 ; 100.0 ; 83.23
倉佑,1568,2,64.7,55.4 ; 74.0
倍微,6270,6,47.03,50.4 ; 52.17 ; 81.27 ; 17.64 ; 29.22 ; 51.5
倫飛,2364,1,70.04,70.04
偉全,1465,1,100.0,100.0
偉聯,9912,2,92.0,100.0 ; 84.0
偉訓,3032,6,55.96,66.4 ; 100.0 ; 42.7 ; 26.65 ; 50.0 ; 50.0
偉詮電,2436,9,77.31,100.0 ; 100.0 ; 62.5 ; 100.0 ; 100.0 ; 20.0 ; 13.33 ; 100.0 ; 100.0
健亞,4130,3,59.81,27.1 ; 52.33 ; 100.0
健信,4502,5,89.1,101.29 ; 100.0 ; 100.0 ; 100.0 ; 44.2
健和興,3003,3,49.58,26.6 ; 100.0 ; 22.14
健喬,4114,13,76.05,100.0 ; 99.6 ; 42.25 ; 66.38 ; 80.2 ; 83.8 ; 27.1 ; 60.08 ; 37.3 ; 91.98 ; 100.0 ; 100.0 ; 100.0
健策,3653,3,62.5,25.0 ; 100.0 ; 62.5
僑威,3078,2,15.38,30.76 ; 0.0
億光,2393,1,10.06,10.06
億泰,1616,1,100.0,100.0
儒鴻,1476,1,100.0,100.0
優盛,4121,5,92.26,100.0 ; 100.0 ; 61.3 ; 100.0 ; 100.0
優群,3217,5,73.38,100.0 ; 65.6 ; 3.57 ; 97.75 ; 100.0
允強,2034,2,85.85,100.0 ; 71.71
元創精密,3685,2,61.82,40.45 ; 83.2
元大金,2885,18,64.71,35.92 ; 98.59 ; 100.0 ; 100.0 ; 100.0 ; 50.6 ; 27.12 ; 36.83 ; 15.0 ; 14.0 ; 45.61 ; 76.07 ; 80.0 ; 100.0 ; 0.05 ; 84.91 ; 100.0 ; 100.0
元太,8069,3,36.15,3.7 ; 4.75 ; 100.0
元山,6275,6,53.17,62.92 ; 57.7 ; 62.0 ; 10.0 ; 75.33 ; 51.07
元炬,3089,3,83.97,51.9 ; 100.0 ; 100.0
元禎,1725,4,20.46,20.53 ; 4.68 ; 6.77 ; 49.87
元隆,6287,2,42.5,15.97 ; 69.04
兆利,3548,2,45.4,47.8 ; 43.0
兆勁,2444,1,99.7,99.7
兆豐金,2886,5,47.32,100.0 ; 100.0 ; 2.01 ; 12.58 ; 22.0
兆赫,2485,1,0.0,0.0
先進光,3362,2,25.0,50.0 ; 0.0
光寶科,2301,6,55.4,88.0 ; 29.75 ; 61.88 ; 30.0 ; 22.79 ; 100.0
光明,4420,3,18.17,19.3 ; 28.0 ; 7.2
光洋科,1785,10,38.09,100.0 ; 70.5 ; 23.53 ; 26.44 ; 13.43 ; 25.0 ; 20.64 ; 70.06 ; 14.14 ; 17.19
光環,3234,3,49.67,34.34 ; 100.0 ; 14.67
光磊,2340,7,49.7,100.0 ; 100.0 ; 0.0 ; 4.09 ; 25.26 ; 57.25 ; 61.32
光罩,2338,29,73.87,100.0 ; 100.0 ; 2.03 ; 18.06 ; 7.16 ; 50.97 ; 62.57 ; 100.0 ; 63.09 ; 100.0 ; 49.89 ; 100.0 ; 41.08 ; 93.27 ; 56.6 ; 100.0 ; 100.0 ; 100.0 ; 70.02 ; 100.0 ; 29.68 ; 69.7 ; 53.25 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 74.75 ; 100.0
光群雷,2461,28,99.57,100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 99.96 ; 96.76 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 99.98 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 91.37 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0
光耀,3666,3,60.38,26.14 ; 55.0 ; 100.0
光聖,6442,1,100.0,100.0
光聯,5315,5,81.16,100.0 ; 100.0 ; 45.8 ; 60.0 ; 100.0
光隆,8916,5,75.2,100.0 ; 100.0 ; 76.0 ; 100.0 ; 0.0
光頡,3624,2,22.8,45.6 ; 0.0
光鼎,6226,6,64.46,100.0 ; 100.0 ; 38.77 ; 66.7 ; 56.0 ; 25.28
全台,3038,20,94.44,100.0 ; 100.0 ; 88.97 ; 100.0 ; 100.0 ; 100.0 ; 99.9 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 100.0 ; 0.0
全坤建,2509,6,64.53,57.46 ; 28.74 ; 52.15 ; 83.33 ; 93.6 ; 71.88
全域,3067,1,31.5,31.5
