公司代號,公司名稱,預定買回期間起
2496,卓越,2021-03-02
1626,艾美特-KY,2021-03-16
4114,健喬,2021-02-23
3324,雙鴻,2021-02-26
5489,彩富,2021-03-02
4429,聚紡,2021-03-15
6640,均華,2021-03-15
8044,網家,2021-03-17
3002,歐格,2021-03-19
1599,宏佳騰,2021-03-26
1531,高林股,2021-03-26
2492,華新科,2021-03-26
6173,信昌電,2021-03-26
4716,大立,2021-03-29
1806,冠軍,2021-04-06
2542,興富發,2021-04-26
2492,華新科,2021-05-04
6640,均華,2021-05-05
6269,台郡,2021-05-06
8050,廣積,2021-05-10
3661,世芯-KY,2021-05-11
2327,國巨,2021-05-17
2365,昆盈,2021-05-14
1586,和勤,2021-05-14
3594,磐儀,2021-05-17
8462,柏文,2021-05-17
3036,文曄,2021-05-17
2206,三陽工業,2021-05-20
6190,萬泰科,2021-05-20
1432,大魯閣,2021-05-20
8043,蜜望實,2021-05-21
3289,宜特,2021-05-25
2467,志聖,2021-05-26
3305,昇貿,2021-05-26
6245,立端,2021-05-26
4162,智擎,2021-06-01
8466,美吉吉-KY,2021-06-10
3027,盛達,2021-06-21
5203,訊連,2021-07-09
6191,精成科,2021-07-16
8249,菱光,2021-07-22
2301,光寶科,2021-07-30
8478,東哥遊艇,2021-07-30
4977,眾達-KY,2021-08-02
3054,立萬利,2021-08-06
3289,宜特,2021-08-06
2376,技嘉,2021-08-09
2458,義隆,2021-08-06
6126,信音,2021-08-09
8091,翔名,2021-08-12
5245,智晶,2021-08-12
8027,鈦昇,2021-08-18
8027,鈦昇,2021-09-18
1795,美時,2021-08-25
2726,雅茗-KY,2021-08-25
6743,安普新,2021-08-26
4763,材料-KY,2021-09-03
8050,廣積,2021-09-08
6496,科懋,2021-09-10
2474,可成,2021-09-17
1604,聲寶,2021-09-22
8938,明安,2021-09-23
8249,菱光,2021-09-24
1598,岱宇,2021-09-30
2474,可成,2021-09-16
8431,匯鑽科,2021-10-07
6237,驊訊,2021-10-12
3289,宜特,2021-10-15
2362,藍天,2021-10-18
3008,大立光,2021-10-26
4966,譜瑞-KY,2021-10-28
6470,宇智,2021-11-02
2338,光罩,2021-11-04
3704,合勤控,2021-11-04
4532,瑞智,2021-11-04
4935,茂林-KY,2021-11-05
6116,彩晶,2021-11-05
2436,偉詮電,2021-11-08
6698,旭暉應材,2021-11-08
3711,日月光投控,2021-11-08
5490,同亨,2021-11-09
2442,新美齊,2021-11-10
9944,新麗,2021-11-10
3666,光耀,2021-11-10
2461,光群雷,2021-11-11
4303,信立,2021-11-11
6542,隆中,2021-11-11
3128,昇銳,2021-11-12
3594,磐儀,2021-11-16
9935,慶豐富,2021-11-19
6594,展匯科,2021-11-25
6239,力成,2021-11-30
6492,生華科,2021-12-06
2474,可成,2021-12-09
2547,日勝生,2021-12-27
6191,精成科,2022-01-17
1586,和勤,2022-01-17
